pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
101;3812;Groß Siegharts;;Spielplatz direkt im Stadtpark;2002;Spielplatz im Stadtpark;Spielplatz im Stadtpark,3812, Groß Siegharts;N;48.790.388;15.406.804;;
102;3331;Allhartsberg;Markt Nr. 50;direkt neben der Schule;2004;Spielplatz in Allhartsberg;Spielplatz in Allhartsberg,3331, Allhartsberg;N;48.026.572;14.793.730;;
103;3712;Maissau;Horner Bundesstraße;in der Amethyst Welt Maissau;2003;Spielplatz in der Amethystwelt Maissau;Spielplatz in der Amethystwelt Maissau,3712, Maissau;N;48.579.981;15.813.536;;
104;3072;Kasten;Nr 17;in der Nordsiedling, oberhalb der Volksschule Kasten;2002;Spielplatz in Kasten;Spielplatz in Kasten,3072, Kasten;N;48.153.843;15.780.748;;
105;2224;Sulz im Weinviertel;Nr. 21;hinter dem Gemeindeamt;2004;Spielplatz in Obersulz;Spielplatz in Obersulz,2224, Sulz im Weinviertel;N;48.503.440;16.672.755;;
106;3910;Zwettl;;neben Altstadt;;Spielplatz in Promenade;Spielplatz in Promenade,3910, Zwettl;N;48.604.207;15.165.613;;
107;3062;Kirchstetten;Totzenbach 10;neben der Schule;2005;Spielplatz in Totzenbach;Spielplatz in Totzenbach,3062, Kirchstetten;N;48.204.097;15.809.116;;
108;2440;Gramatneusiedl;Kaiseraugasse;grenzt an Kaiseraugasse, neben Kindergarten;2005;Spielplatz Kaiserau;Spielplatz Kaiserau,2440, Gramatneusiedl;N;48.027.856;16.491.333;;
109;2813;Kaltenberg;Spielplatz Kaltenberg<br>Kaltenberg 19;neben Gasthof Neumüller;2005;Spiellandschaft Lichtenegg - Kaltenberg;Spiellandschaft Lichtenegg - Kaltenberg,2813, Kaltenberg;N;47.614.701;16.181.512;;
110;3481;Fels am Wagram;Kapellenweg;;2005;Spielplatz Kapellenweg;Spielplatz Kapellenweg,3481, Fels am Wagram;N;48.434.465;15.831.546;;
111;3141;Kapelln;Marktgasse 1;1 Teil direkt auf der Sportanlage Leopold Figl Platz, 2. Teil neben Tennisanlage;2003;Spielplatz Kapelln (Spiellandschaft);Spielplatz Kapelln (Spiellandschaft),3141, Kapelln;N;48.258.095;15.757.021;;
112;2130;Mistelbach;;Nordwestlich der Pfarrkirche St.Martin;2004;Spielplatz Kirchenberg;Spielplatz Kirchenberg,2130, Mistelbach;N;48.570.693;16.565.049;;
113;3465;Königsbrunn/Wagram;;direkt neben der Volksschule;2006;Spielplatz Königsbrunn;Spielplatz Königsbrunn,3465, Königsbrunn/Wagram;N;48.420.317;15.943.019;;
114;2232;Deutsch-Wagram;Wilhelm Kress-Gasse;Ecke Leopold Kunschak-Gasse;2005;Spielplatz Kreuzwiese;Spielplatz Kreuzwiese,2232, Deutsch-Wagram;N;48.313.988;16.578.662;;
115;3671;Marbach/Donau;;;2006;Spielplatz Krummnussbaum;Spielplatz Krummnussbaum,3671, Marbach/Donau;N;48.217.818;15.163.219;;
116;2064;Wulzeshofen, Laa/Thaya;;;2003;Spielplatz Wulzeshofen;Spielplatz Wulzeshofen,2064, Wulzeshofen, Laa/Thaya;N;48.718.794;16.302.523;;
117;2136;Laa an der Thaya;Gärtnerstraße 33;in der Gartenanlage des Landespflegeheimes;2006;Spielplatz Landespflegeheim Laa;Kinder- und Seniorenspielplatz Landespensionistenheim Laa,2136, Laa an der Thaya;N;48.721.861;16.378.394;;
118;2493;Lichtenwörth;Kirchenplatz 3;;2005;Spielplatz Lichtenwörth;Spielplatz Lichtenwörth,2493, Lichtenwörth;N;47.831.946;16.294.526;;
119;3392;Dunkelsteinerwald/Mauer;;Süßgraben in Mauer;2006;Spielplatz Mauer;Spielplatz Mauer,3392, Dunkelsteinerwald/Mauer;N;48.225.814;15.412.171;;
120;2304;Orth an der Donau;Graf-Salm-Gasse;;2003;Spielplatz Meierhof;Spielplatz Meierhof,2304, Orth an der Donau;N;48.147.762;16.700.886;;
121;3662;Münichreith-Laimbach;Kindergartenweg;;2006;Ostronger Kinderparadies;Ostronger Kinderparadies,3662, Münichreith-Laimbach;N;48.266.316;15.127.363;;
122;3564;Plank am Kamp;Kirchengasse;;;Spielplatz neben Strandbad;Spielplatz neben Strandbad,3564, Plank am Kamp;N;48.555.178;15.679.275;;
123;3270;Neustift bei Scheibbs;Wertheimgasse;;2004;Spielplatz Neustift;Spielplatz Neustift,3270, Neustift bei Scheibbs;N;47.992.908;15.161.436;;
124;2880;Otterthal;;;2006;Spielplatz Otter;Spielplatz Otter,2880, Otterthal;N;47.621.295;15.936.164;;
125;3532;Rastenfeld;;;2005;Spielplatz Peygarten-Ottenstein Hinterfeld;Spielplatz Peygarten-Ottenstein Hinterfeld,3532, Rastenfeld;N;48.584.339;15.328.898;;
126;3140;Pottenbrunn;Ernst Freisingergasse;neben Volksheim;2002;Spielplatz Pottenbrunn;Spielplatz Pottenbrunn,3140, Pottenbrunn;N;48.238.183;15.690.866;;
127;3385;Prinzersdorf;Schubertraße;;2006;Spielplatz Prinzersdorf;Spielplatz Prinzersdorf,3385, Prinzersdorf;N;48.203.953;15.523.440;;
128;3741;Pulkau;Hauptstraße 4;am Park;2002;Spielplatz Pulkau;Spielplatz Pulkau,3741, Pulkau;N;48.704.153;15.862.203;;
129;3109;Ratzersdorf;;;2004;Spielplatz Ratzersdorf;Spielplatz Ratzersdorf,3109, Ratzersdorf;N;48.225.018;15.664.672;;
